,idno,gndr,agea,region,prtvtddk,edlvddk,infqbst,grspnum
1195,132320,Female,60,DK02,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Refusal,
1196,132363,Male,70,DK03,Refusal,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,
1197,132367,Female,80,DK04,Socialdemokratiet - The Social democrats,Folkeskole 9.-10. klasse,Monthly,
1198,132472,Female,69,DK04,Det Konservative Folkeparti - Conservative People's Party,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,
1199,132488,Female,72,DK02,Dansk Folkeparti - Danish People's Party,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Monthly,
1200,132507,Female,46,DK04,Alternativet - The Alternative,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,50000.0
1201,132581,Male,71,DK04,Liberal Alliance - Liberal Alliance,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",No answer,
1202,132640,Male,30,DK02,Enhedslisten - Unity List - The Red-Green Alliance,Folkeskole 9.-10. klasse,Monthly,
1203,132704,Female,37,DK04,Socialdemokratiet - The Social democrats,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,35700.0
1204,132710,Male,48,DK02,Not applicable,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Weekly,
1205,132852,Female,37,DK03,"Venstre, Danmarks Liberale Parti - The Liberal Party","Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",Monthly,23000.0
1206,132858,Male,31,DK04,Not applicable,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",Monthly,37000.0
1207,132874,Male,88,DK04,Socialdemokratiet - The Social democrats,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",Annual,
1208,132973,Male,44,DK05,Det Radikale Venstre - The Radical Liberal Party,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",Monthly,60000.0
1209,133013,Female,26,DK01,"Venstre, Danmarks Liberale Parti - The Liberal Party","Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,25000.0
1210,133026,Male,29,DK03,Liberal Alliance - Liberal Alliance,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",Monthly,335000.0
